ICD-10 DiagnosisCode,ICD-10 Diagnosis Description
F13.27,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced persisting"
F13.26,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced persisting"
F13.259,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced psychotic"
F13.251,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced psychotic"
F13.250,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced psychotic"
F13.281,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced sexual dys"
F13.282,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced sleep diso"
F13.29,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic
or anxiolytic-induce"
F13.231,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
F13.232,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual
disturbance"
F13.239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
F13.921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
F13.988,"Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or
anxiolytic-induce"
F13.980,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced anxi"
F13.94,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced mood"
F13.97,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced pers"
F13.96,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced pers"
F13.950,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced psyc"
F13.959,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced psyc"
F13.951,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced psyc"
F13.981,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced sexu"
F13.982,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or
anxiolytic-induced slee"
F13.931,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium"
F13.932,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual
disturbances"
F94.0,Selective mutism
F93.0,Separation anxiety disorder of childhood
F52.1,Sexual aversion disorder
F65.51,Sexual masochism
F65.52,Sexual sadism
F24,Shared psychotic disorder
F51.9,"Sleep disorder not due to a substance or known physiological condition,
unspecified"
F51.4,Sleep terrors [night terrors]
F51.3,Sleepwalking [somnambulism]
F40.11,"Social phobia, generalized"
F40.10,"Social phobia, unspecified"
F80.82,Social pragmatic communication disorder
F45.0,Somatization disorder
F45.9,"Somatoform disorder, unspecified"
R45.7,"State of emotional shock and stress, unspecified"
F98.4,Stereotyped movement disorders
F95.9,"Tic disorder, unspecified"
F95.2,Tourette's disorder
F95.0,Transient tic disorder
F64.0,Transsexualism
F65.1,Transvestic fetishism
F63.3,Trichotillomania
F20.3,Undifferentiated schizophrenia
F45.1,Undifferentiated somatoform disorder
F98.9,"Unspecified behavioral and emotional disorders with onset usually occurring in
childhood and adolesc"
F59,"Unspecified behavioral syndromes associated with physiological disturbances and
physical factors"
F03.91,Unspecified dementia with behavioral disturbance
F03.90,Unspecified dementia without behavioral disturbance
F89,Unspecified disorder of psychological development
F09,Unspecified mental disorder due to known physiological condition
F39,Unspecified mood ºaffective» disorder
F07.9,"Unspecified personality and behavioral disorder due to known physiological
condition"
F29,Unspecified psychosis not due to a substance or known physiological condition
F52.9,"Unspecified sexual dysfunction not due to a substance or known physiological
condition"
F52.5,Vaginismus not due to a substance or known physiological condition
F01.51,Vascular dementia with behavioral disturbance
F01.50,Vascular dementia without behavioral disturbance
F65.3,Voyeurism
